 # t     Ep     Ec     Et
   93.4000015      -1.78908068E-03   4.20765257       4.20586348    
   93.5000000      -1.78712420E-03   4.20765018       4.20586300    
   93.5999985      -1.78517227E-03   4.20764828       4.20586300    
   93.7000046      -1.78322464E-03   4.20764637       4.20586300    
   93.8000031      -1.78128143E-03   4.20764446       4.20586300    
   93.9000015      -1.77934277E-03   4.20764256       4.20586300    
   94.0000000      -1.77740841E-03   4.20764065       4.20586348    
   94.0999985      -1.77547848E-03   4.20763874       4.20586348    
   94.2000046      -1.77355297E-03   4.20763683       4.20586348    
   94.3000031      -1.77163188E-03   4.20763493       4.20586348    
   94.4000015      -1.76971522E-03   4.20763302       4.20586348    
   94.5000000      -1.76780298E-03   4.20763111       4.20586348    
   94.5999985      -1.76589505E-03   4.20762920       4.20586348    
   94.7000046      -1.76399155E-03   4.20762730       4.20586348    
   94.8000031      -1.76209235E-03   4.20762539       4.20586348    
   94.9000015      -1.76019757E-03   4.20762348       4.20586348    
   95.0000000      -1.75830710E-03   4.20762157       4.20586348    
   95.0999985      -1.75642106E-03   4.20761967       4.20586348    
   95.2000046      -1.75453920E-03   4.20761776       4.20586300    
   95.3000031      -1.75266177E-03   4.20761633       4.20586348    
   95.4000015      -1.75078865E-03   4.20761442       4.20586348    
   95.5000000      -1.74891972E-03   4.20761251       4.20586348    
   95.5999985      -1.74705510E-03   4.20761061       4.20586348    
   95.7000046      -1.74519478E-03   4.20760870       4.20586348    
   95.8000031      -1.74333877E-03   4.20760679       4.20586348    
   95.9000015      -1.74148683E-03   4.20760489       4.20586348    
   96.0000000      -1.73963921E-03   4.20760298       4.20586348    
   96.0999985      -1.73779577E-03   4.20760155       4.20586395    
   96.2000046      -1.73595652E-03   4.20759964       4.20586348    
   96.3000031      -1.73412147E-03   4.20759773       4.20586348    
   96.4000015      -1.73229061E-03   4.20759583       4.20586348    
   96.5000000      -1.73046382E-03   4.20759392       4.20586348    
   96.5999985      -1.72864122E-03   4.20759201       4.20586348    
   96.7000046      -1.72682269E-03   4.20759058       4.20586395    
   96.8000031      -1.72500825E-03   4.20758867       4.20586348    
   96.9000015      -1.72319799E-03   4.20758677       4.20586348    
   97.0000000      -1.72139169E-03   4.20758486       4.20586348    
   97.0999985      -1.71958958E-03   4.20758343       4.20586395    
   97.2000046      -1.71779143E-03   4.20758152       4.20586395    
   97.3000031      -1.71599735E-03   4.20757961       4.20586348    
   97.4000015      -1.71420723E-03   4.20757771       4.20586348    
   97.5000000      -1.71242107E-03   4.20757627       4.20586395    
   97.5999985      -1.71063899E-03   4.20757437       4.20586395    
   97.7000046      -1.70886086E-03   4.20757246       4.20586348    
   97.8000031      -1.70708669E-03   4.20757055       4.20586348    
   97.9000015      -1.70531648E-03   4.20756912       4.20586395    
   98.0000000      -1.70355011E-03   4.20756721       4.20586348    
   98.0999985      -1.70178770E-03   4.20756531       4.20586348    
   98.2000046      -1.70002924E-03   4.20756388       4.20586395    
   98.3000031      -1.69827463E-03   4.20756197       4.20586348    
   98.4000015      -1.69652386E-03   4.20756006       4.20586348    
   98.5000000      -1.69477693E-03   4.20755863       4.20586395    
   98.5999985      -1.69303385E-03   4.20755672       4.20586348    
   98.7000046      -1.69129472E-03   4.20755482       4.20586348    
   98.8000031      -1.68955931E-03   4.20755339       4.20586395    
   98.9000015      -1.68782764E-03   4.20755148       4.20586348    
   99.0000000      -1.68609980E-03   4.20754957       4.20586348    
   99.0999985      -1.68437581E-03   4.20754814       4.20586395    
   99.2000046      -1.68265554E-03   4.20754623       4.20586348    
   99.3000031      -1.68093899E-03   4.20754480       4.20586395    
   99.4000015      -1.67922617E-03   4.20754290       4.20586348    
   99.5000000      -1.67751720E-03   4.20754099       4.20586348    
   99.5999985      -1.67581183E-03   4.20753956       4.20586395    
   99.7000046      -1.67411007E-03   4.20753765       4.20586348    
   99.8000031      -1.67241204E-03   4.20753622       4.20586395    
   99.9000015      -1.67071784E-03   4.20753431       4.20586348    
   100.000000      -1.66902714E-03   4.20753288       4.20586395    
